time,frequency,confidence
2.480,315.578,0.961383
2.484,315.694,0.960695
2.488,315.554,0.959799
2.492,315.595,0.962389
2.496,315.580,0.960983
2.500,315.477,0.961680
2.504,315.439,0.959788
2.508,315.549,0.963789
2.512,315.514,0.961059
2.516,315.417,0.961263
2.520,315.426,0.960728
2.524,315.541,0.963508
2.528,315.492,0.961569
2.532,315.437,0.960577
2.536,315.352,0.961455
2.540,315.493,0.963769
2.544,315.513,0.961986
2.548,315.384,0.961501
2.552,315.290,0.962664
2.556,315.293,0.963054
2.560,315.463,0.962423
2.564,315.325,0.960900
2.568,315.298,0.963354
2.572,315.288,0.961835
2.576,315.280,0.962045
2.580,315.149,0.959996
2.584,315.272,0.964159
2.588,315.236,0.961633
2.592,315.105,0.961282
2.596,315.125,0.960054
2.600,315.188,0.963274
2.604,315.088,0.959718
2.608,315.035,0.959378
2.612,314.993,0.957843
2.616,315.126,0.961937
2.620,315.082,0.960018
2.624,315.081,0.959289
2.628,314.997,0.959076
2.632,315.120,0.962107
2.636,315.199,0.962028
2.640,315.111,0.960039
2.644,315.074,0.959934
2.648,315.041,0.960723
2.652,315.237,0.962900
2.656,315.073,0.959714
2.660,315.126,0.962109
2.664,315.152,0.960956
2.668,315.106,0.962077
2.672,315.037,0.959079
2.676,315.167,0.963297
2.680,315.127,0.960115
2.684,315.011,0.959920
2.688,315.070,0.959097
2.692,315.142,0.962179
2.696,315.059,0.959403
2.700,315.016,0.958895
2.704,314.966,0.957370
2.708,315.099,0.961750
2.712,315.088,0.959968
2.716,315.088,0.959521
2.720,315.050,0.959517
2.724,315.186,0.962215
2.728,315.330,0.961637
2.732,315.315,0.960229
2.736,315.309,0.961536
2.740,315.362,0.961681
2.744,315.529,0.961668
2.748,315.431,0.959874
2.752,315.550,0.962646
2.756,315.577,0.960849
2.760,315.514,0.961806
2.764,315.509,0.959541
2.768,315.631,0.962632
2.772,315.635,0.960083
2.776,315.571,0.960439
2.780,315.624,0.959545
2.784,315.744,0.962109
2.788,315.742,0.960523
2.792,315.666,0.959597
2.796,315.588,0.960570
2.800,315.695,0.962563
2.804,315.727,0.960629
2.808,315.610,0.960213
2.812,315.504,0.961728
2.816,315.485,0.962196
2.820,315.644,0.961882
2.824,315.510,0.960837
2.828,315.496,0.963955
2.832,315.441,0.962650
2.836,315.324,0.963076
2.840,315.247,0.961147
2.844,315.287,0.964768
2.848,315.190,0.961416
2.852,314.993,0.960413
2.856,315.008,0.959604
2.860,315.029,0.962175
2.864,314.900,0.957950
2.868,314.780,0.955808
2.872,314.684,0.953403
2.876,314.799,0.958271
2.880,314.654,0.953347
2.884,314.582,0.952263
2.888,314.469,0.949968
2.892,314.580,0.953558
2.896,314.576,0.952323
2.900,314.368,0.945574
2.904,314.365,0.945184
2.908,314.385,0.947634
2.912,314.553,0.952959
2.916,314.369,0.945738
2.920,314.466,0.948796
2.924,314.514,0.948857
2.928,314.587,0.952606
2.932,314.541,0.948640
2.936,314.776,0.956160
2.940,314.921,0.956448
2.944,314.900,0.958379
2.948,314.973,0.956805
2.952,315.144,0.961159
2.956,315.242,0.959286
2.960,315.290,0.960370
2.964,315.374,0.959531
2.968,315.621,0.962082
2.972,315.672,0.960118
2.976,315.691,0.958667
2.980,315.651,0.959159
2.984,315.789,0.961248
2.988,315.846,0.959006
2.992,315.785,0.958237
2.996,315.684,0.959923
3.000,315.693,0.960521
3.004,315.810,0.961000
3.008,315.725,0.960907
3.012,315.726,0.963703
3.016,315.765,0.962139
3.020,315.864,0.959692
3.024,316.003,0.950948
3.028,316.437,0.943730
3.032,316.703,0.923087
3.036,317.061,0.893402
3.040,317.762,0.842992
3.044,318.659,0.804416
3.048,318.693,0.740660
3.052,317.729,0.681251
3.056,317.259,0.605220
3.060,317.363,0.512471
3.064,316.828,0.469375
3.068,310.922,0.455659
3.072,300.438,0.646917
3.076,297.119,0.814930
3.080,296.491,0.860176
3.084,296.412,0.881070
3.088,296.285,0.889125
3.092,296.267,0.907986
3.096,296.332,0.914254
3.100,296.420,0.918358
3.104,296.580,0.928685
3.108,296.746,0.940428
3.112,296.961,0.950756
3.116,297.087,0.954702
3.120,297.204,0.958551
3.124,297.546,0.964622
3.128,297.831,0.968307
3.132,298.086,0.969523
3.136,298.355,0.970268
3.140,298.494,0.970412
3.144,298.650,0.969523
3.148,298.709,0.969024
3.152,298.774,0.967290
3.156,298.873,0.966834
3.160,298.874,0.967881
3.164,298.800,0.967835
3.168,298.699,0.966975
3.172,298.632,0.966581
3.176,298.627,0.967591
3.180,298.635,0.967704
3.184,298.565,0.968448
3.188,298.522,0.967575
3.192,298.557,0.966229
3.196,298.490,0.968275
3.200,298.573,0.968402
3.204,298.454,0.969459
3.208,298.419,0.968545
3.212,298.465,0.967353
3.216,298.414,0.968566
3.220,298.456,0.969384
3.224,298.388,0.969439
3.228,298.337,0.968937
3.232,298.356,0.968117
3.236,298.332,0.967320
3.240,298.324,0.968957
3.244,298.236,0.969591
3.248,298.248,0.968428
3.252,298.220,0.968993
3.256,298.211,0.967597
3.260,298.239,0.969040
3.264,298.203,0.970016
3.268,298.123,0.969183
3.272,298.035,0.969270
3.276,298.015,0.968036
3.280,298.058,0.969444
3.284,298.090,0.969611
3.288,298.009,0.969294
3.292,297.926,0.967931
3.296,298.040,0.967477
3.300,298.029,0.969193
3.304,298.116,0.969517
3.308,297.984,0.969462
3.312,298.015,0.969207
3.316,298.073,0.967952
3.320,298.051,0.968514
3.324,298.021,0.969623
3.328,297.964,0.969421
3.332,297.939,0.968205
3.336,297.914,0.967885
3.340,297.925,0.966805
3.344,297.923,0.968918
3.348,297.910,0.969085
3.352,297.872,0.968123
3.356,297.771,0.967646
3.360,297.781,0.966758
3.364,297.862,0.968631
3.368,297.938,0.969363
3.372,297.914,0.968625
3.376,297.856,0.967589
3.380,297.980,0.967432
3.384,298.021,0.968936
3.388,298.131,0.969445
3.392,297.992,0.969294
3.396,298.040,0.968911
3.400,298.092,0.967509
3.404,298.041,0.967971
3.408,298.001,0.969129
3.412,297.936,0.969125
3.416,297.932,0.968092
3.420,297.917,0.967794
3.424,297.931,0.966569
3.428,297.906,0.968803
3.432,297.928,0.969054
3.436,297.915,0.968259
3.440,297.815,0.967920
3.444,297.837,0.967022
3.448,297.898,0.968801
3.452,297.962,0.969458
3.456,297.914,0.968419
3.460,297.811,0.966824
3.464,297.882,0.966665
3.468,297.885,0.968213
3.472,297.944,0.968530
3.476,297.822,0.967761
3.480,297.881,0.967988
3.484,297.916,0.966373
3.488,297.902,0.967541
3.492,297.887,0.968681
3.496,297.836,0.968382
3.500,297.855,0.967778
3.504,297.866,0.967626
3.508,297.881,0.966494
3.512,297.861,0.968551
3.516,297.889,0.968937
3.520,297.891,0.968115
3.524,297.799,0.967845
3.528,297.833,0.967030
3.532,297.891,0.968705
3.536,297.978,0.969556
3.540,297.951,0.968740
3.544,297.862,0.967336
3.548,297.964,0.967204
3.552,297.968,0.968791
3.556,298.058,0.969242
3.560,297.932,0.968432
3.564,297.970,0.968211
3.568,297.998,0.966499
3.572,297.957,0.967731
3.576,297.925,0.968536
3.580,297.858,0.968476
3.584,297.892,0.967817
3.588,297.919,0.967792
3.592,297.955,0.966794
3.596,297.927,0.968744
3.600,297.957,0.969339
3.604,297.970,0.968655
3.608,297.891,0.968366
3.612,297.898,0.967137
3.616,297.916,0.968336
3.620,297.948,0.969149
3.624,297.886,0.968149
3.628,297.748,0.966355
3.632,297.826,0.966325
3.636,297.819,0.967535
3.640,297.872,0.968053
3.644,297.795,0.966974
3.648,297.830,0.966985
3.652,297.878,0.965694
3.656,297.857,0.967268
3.660,297.848,0.967797
3.664,297.777,0.967730
3.668,297.831,0.967306
3.672,297.851,0.967132
3.676,297.874,0.966560
3.680,297.836,0.968111
3.684,297.850,0.968705
3.688,297.878,0.968169
3.692,297.813,0.967782
3.696,297.860,0.967121
3.700,297.886,0.968243
3.704,297.947,0.969377
3.708,297.915,0.968476
3.712,297.778,0.967137
3.716,297.881,0.967066
3.720,297.864,0.968157
3.724,297.925,0.968614
3.728,297.847,0.967494
3.732,297.879,0.967607
3.736,297.923,0.966295
3.740,297.888,0.967588
3.744,297.887,0.967977
3.748,297.809,0.968118
3.752,297.861,0.967712
3.756,297.897,0.967700
3.760,297.906,0.966893
3.764,297.861,0.968203
3.768,297.880,0.969002
3.772,297.924,0.968426
3.776,297.884,0.968163
3.780,297.964,0.967348
3.784,297.998,0.968694
3.788,298.071,0.969945
3.792,298.115,0.970107
3.796,298.107,0.969977
3.800,298.342,0.969976
3.804,298.453,0.970068
3.808,298.659,0.967858
3.812,298.910,0.961434
3.816,299.246,0.946476
